OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
258,57,110479900195,Bergner St,M,S1400,0.005524122509224,-76.897638999939829,40.301520999594516
259,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.900881000157995,40.302079000145795
260,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.900407165358331,40.303676795048091
261,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.899933644422106,40.305274676285308
262,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.899449434144060,40.306869159883888
263,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.898974719807427,40.308466668801771
264,58,1102390193023,Penn St,M,S1400,0.008332866888031,-76.898512999775107,40.310067999838395
265,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.899573000093824,40.309646000162843
266,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.899775575082685,40.309496940231668
267,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.899978150071547,40.309347880300493
268,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.900180725060352,40.309198820369318
269,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.900389400150630,40.309061533463080
270,59,1105089475214,Front St,M,S1400,0.001257532206334,-76.900628000181996,40.308982000119272
271,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896609000105229,40.300612999989994
272,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896566090752458,40.301033732520807
273,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896525632052260,40.301454679989547
274,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896494644112522,40.301876457532558
275,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896457624419781,40.302297698180269
276,60,1102169915255,Ramsey St,M,S1400,0.002114573844314,-76.896432000036725,40.302715999843542
277,61,1102338741095, , ,S1400,0.001298193122904,-76.900744000135433,40.306734999920366
